标题,品牌,城市,价格,新车价格,首付,里程,年份,排放标准
大众Polo 2016款 1.4L 自动 风尚版,大众,沈阳,4.16,10.19,0.42万,4.34万公里,2017,国5
奇瑞 瑞虎5x 2020款 1.5L 手动 时尚版,奇瑞,沈阳,4.18,8.87,0.42万,3.74万公里,2022,国6
大众速腾 2012款 1.4T 双离合 时尚型,大众,沈阳,4.2,17.70,0.42万,10.82万公里,2013,国4
荣威i5 2020款 1.5L CVT 4G互联领豪旗舰版,荣威,沈阳,4.58,10.75,0.46万,4.14万公里,2021,国6
丰田雷凌 2017款 改款 185T CVT精英版 国V,丰田,沈阳,6.18,14.27,0.62万,4.90万公里,2019,国5
哈弗F7 2020款 2.0T 双离合 两驱 i范,哈弗,沈阳,6.51,16.38,0.65万,4.93万公里,2020,国6
英菲尼迪ESQ 2014款 英菲尼迪ESQ 1.6L 率性版,英菲尼迪,沈阳,6.8,20.46,0.68万,3.36万公里,2017,国4
本田XR-V 2019款 220TURBO CVT 舒适版 国V,本田,沈阳,7.98,16.61,0.80万,5.00万公里,2020,国5
领克01 2017款 2.0T 四驱劲Pro版,领克,沈阳,7.98,22.46,0.80万,6.71万公里,2018,国5
日产逍客 2019款 2.0L CVT 豪华版,日产,沈阳,8.38,19.14,0.84万,7.09万公里,2020,国6
大众甲壳虫 2018款 180TSI 宜乐版,大众,沈阳,9.58,20.24,0.96万,6.19万公里,2018,国6
马自达CX-4 2021款 2.0L 手自一体 两驱 蓝天探索版,马自达,沈阳,9.78,18.26,0.98万,2.24万公里,2021,国6
别克君威 2021款 552T 精英型,别克,沈阳,10.18,21.35,1.02万,4.21万公里,2022,国6
凯迪拉克CT6 2017款 28T 两驱 时尚版,凯迪拉克,沈阳,13.58,49.15,1.36万,8.12万公里,2018,国5
沃尔沃S90 2019款 T5 智逸版,沃尔沃,沈阳,15.88,45.06,1.59万,6.88万公里,2018,国5
宝马X1 2021款 xDrive25Li 尊享型,宝马,沈阳,17.98,38.08,1.80万,4.16万公里,2021,国6
奥迪Q5L 2020款 改款 40 TFSI 荣享时尚型,奥迪,沈阳,22.68,46.49,2.27万,6.79万公里,2021,国6
宝马X3 2021款 xDrive 28i 豪华套装,宝马,沈阳,23.98,47.59,2.40万,6.80万公里,2020,国6
保时捷718 2020款 Boxster 2.0T,保时捷,沈阳,50.98,62.99,5.10万,1.34万公里,2022,国6
比亚迪S7 2015款 2.0TID 手自一体 旗舰型 7座 升级版,比亚迪,沈阳,2.68,15.95,0.27万,10.72万公里,2016,国5
五菱汽车 五菱宏光MINIEV 2021款 马卡龙时尚款 120KM 磷酸铁锂,五菱汽车,沈阳,2.88,4.61,0.29万,1.33万公里,2022,新能源
日产轩逸 2012款 1.6L 自动 XE 经典舒适版,日产,沈阳,3.58,12.61,0.36万,10.26万公里,2015,国4
丰田YARiS L 致享 2019款 1.5E 手动 魅动版 国Ⅵ,丰田,沈阳,3.68,9.30,0.37万,4.13万公里,2019,国6
名爵GS 锐腾 2016款 2.0TGI 双离合 两驱 豪华版,名爵,沈阳,3.68,18.14,0.37万,8.91万公里,2016,国5
吉利汽车 吉利远景X3 2017款 1.5L 自动 精英版,吉利汽车,沈阳,3.88,7.32,0.39万,3.02万公里,2019,国5
别克英朗 2015款 15N 自动 豪华型,别克,沈阳,3.88,15.61,0.39万,4.52万公里,2016,国5
吉利汽车 吉利远景 2019款 升级版 1.5L CVT 豪华型 国VI,吉利汽车,沈阳,4.18,8.20,0.42万,3.07万公里,2019,国6
雪佛兰创酷 2017款 1.4T 手自一体 两驱 豪华版,雪佛兰,沈阳,4.3,15.28,0.43万,11.05万公里,2017,国5
吉利汽车 吉利远景X6 2016款 1.3T CVT 旗舰版,吉利汽车,沈阳,4.5,11.74,0.45万,3.35万公里,2018,国5
丰田YARiS L 致炫 2015款 1.5L 自动 魅动版,丰田,沈阳,4.58,9.96,0.46万,3.27万公里,2016,国5
哈弗H6 2018款 红标 运动版 1.5T 手动 精英版,哈弗,沈阳,4.58,11.86,0.46万,4.02万公里,2019,国5
现代悦纳 2016款 1.4L 自动炫酷版GLS,现代,沈阳,4.6,10.18,0.46万,6.11万公里,2018,国3
吉利汽车 吉利远景X3 2020款 1.5L CVT 尊贵型,吉利汽车,沈阳,4.68,8.09,0.47万,2.10万公里,2021,国6
丰田YARiS L 致享 2020款 1.5L CVT 领先版,丰田,沈阳,4.78,10.18,0.48万,4.63万公里,2020,国6
广汽传祺 传祺GS4 2017款 235T 手自一体 两驱 豪华智联版,广汽传祺,沈阳,4.88,16.37,0.49万,9.12万公里,2018,国5
马自达6 2015款 2.0L 经典型,马自达,沈阳,4.9,15.94,0.49万,12.74万公里,2016,国5
别克英朗 2021款 轻混 1.3T 自动精英型,别克,沈阳,4.98,14.39,0.50万,5.12万公里,2021,国6
马自达3 昂克赛拉 2017款 三厢 1.5L 手自一体 豪华版 国V,马自达,沈阳,5.6,15.94,0.56万,6.31万公里,2017,国5
丰田卡罗拉 2017款 改款 1.2T CVT GL 国V,丰田,沈阳,5.6,13.50,0.56万,6.45万公里,2017,国5
本田享域 2019款 180TURBO CVT 乐享版 国VI,本田,沈阳,5.88,14.04,0.59万,4.73万公里,2020,国6
雪佛兰科鲁泽 2022款 轻混 RS 330T 自动畅快版,雪佛兰,沈阳,5.98,13.51,0.60万,1.61万公里,2022,国6
荣威RX5 2020款 20T 双离合 两驱 4G互联百万款,荣威,沈阳,6.18,13.72,0.62万,1.65万公里,2021,国6
长安CS75 2021款 荣耀百万版 280T 手动 精英型,长安,沈阳,6.18,11.96,0.62万,2.19万公里,2021,国6
捷途X90 2020款 1.6T 双离合 影御版,捷途,沈阳,6.28,15.50,0.63万,3.47万公里,2020,国6
捷达VS5 2019款 280TSI 手动 悦享型,捷达,沈阳,6.28,10.62,0.63万,3.57万公里,2021,国6
大众凌渡 2017款 230TSI 手动 风尚版,大众,沈阳,6.38,16.61,0.64万,5.39万公里,2017,国5
魏牌VV7 2017款 2.0T 旗舰版,魏牌,沈阳,6.38,21.35,0.64万,9.33万公里,2018,国5
大众凌渡 2019款 230TSI 双离合 风尚版 国V,大众,沈阳,6.58,17.71,0.66万,9.59万公里,2019,国5
沃尔沃V40 2017款 T3 智尚版,沃尔沃,沈阳,6.88,25.23,0.69万,3.19万公里,2017,国5
广汽传祺 传祺GS4 2021款 270T 手自一体 智联科技版,广汽传祺,沈阳,6.88,15.05,0.69万,5.24万公里,2021,国6
斯柯达柯米克 2020款 改款 GT TSI230 双离合 旗舰版,斯柯达,沈阳,6.98,14.39,0.70万,3.13万公里,2021,国6
启辰大V 2021款 260T 双离合 天王版,启辰,沈阳,7.18,14.71,0.72万,1.05万公里,2021,国6
别克昂科威 2017款 20T 双离合 两驱 精英版,别克,沈阳,7.18,26.56,0.72万,8.48万公里,2017,国5
东风风行 风行T5 EVO 2021款 1.5T 钻石版,东风风行,沈阳,7.28,13.18,0.73万,1.13万公里,2022,国6
吉利汽车 吉利豪越 2020款 1.8TD 双离合 豪华型,吉利汽车,沈阳,7.28,13.70,0.73万,4.88万公里,2021,国6
三菱欧蓝德 2018款 2.0L CVT 两驱 荣耀版 5座,三菱,沈阳,7.68,19.25,0.77万,6.98万公里,2018,国5
奥迪Q3 2015款 35 TFSI quattro 技术型,奥迪,沈阳,7.78,37.42,0.78万,7.48万公里,2015,国4
长安CS55PLUS 2022款 第二代 1.5T 双离合豪华型,长安,沈阳,7.96,12.29,0.80万,4.45万公里,2022,国6
宝马X3(进口) 2012款 xDrive20i 2.0T 手自一体 豪华型,宝马,沈阳,7.98,54.36,0.80万,10.72万公里,2013,国4
广汽传祺影豹 2021款 270T 双离合J16版,广汽传祺,沈阳,8.28,14.63,0.83万,1.97万公里,2021,国6
雪佛兰探界者 2021款 535T 两驱 驰界版,雪佛兰,沈阳,8.28,20.92,0.83万,7.62万公里,2020,国6
现代ix35 2021款 2.0L 自动 两驱 领先版GLS,现代,沈阳,8.68,15.94,0.87万,1.54万公里,2022,国6
丰田凯美瑞 2016款 2.0L 自动 十周年纪念精英版,丰田,沈阳,8.98,21.24,0.90万,5.36万公里,2018,国5
本田思域 2019款 220TURBO CVT 劲动版 国VI,本田,沈阳,9.28,15.94,0.93万,3.48万公里,2021,国6
奥迪Q2L e-tron 2019款 奥迪Q2L e-tron 纯电智享型,奥迪,沈阳,9.38,26.70,0.94万,2.87万公里,2021,国6
哈弗神兽 2022款 1.5T 两驱智享版,哈弗,沈阳,9.68,15.62,0.97万,0.84万公里,2022,国6
领克03 2022款 1.5T 双离合两驱劲Plus,领克,沈阳,9.68,15.60,0.97万,1.96万公里,2022,国6
北京BJ40 2018款 BJ40 PLUS 2.3T 手自一体 四驱 旗舰版 国V,北京,沈阳,9.78,21.51,0.98万,3.81万公里,2019,国5
广汽传祺 传祺M8 2018款 320T 豪华版,广汽传祺,沈阳,9.78,20.02,0.98万,9.15万公里,2019,国5
奥迪Q3 2017款 35 TFSI 时尚版,奥迪,沈阳,9.88,31.35,0.99万,7.89万公里,2017,国5
哈弗大狗 2022款 1.5T 两驱边牧版,哈弗,沈阳,10.18,15.50,1.02万,2.33万公里,2023,国6
宝马1系 2019款 118i M运动套装,宝马,沈阳,10.58,25.22,1.06万,1.51万公里,2019,国6
吉利汽车 吉利博越L 2023款 1.5T 尊贵型,吉利汽车,沈阳,10.68,15.04,1.07万,1.91万公里,2023,国6
长安UNI-K 2021款 2.0T 两驱尊贵型,长安,沈阳,10.88,19.26,1.09万,3.32万公里,2021,国6
红旗HS5 2019款 2.0T 手自一体 四驱 智联旗享版,红旗,沈阳,10.98,24.12,1.10万,3.73万公里,2020,国6
奥迪Q3 2018款 30 TFSI 时尚典藏版,奥迪,沈阳,11.38,29.22,1.14万,5.24万公里,2019,国5
别克君威 2020款 GS 28T 尊贵型,别克,沈阳,11.88,28.10,1.19万,6.14万公里,2020,国6
凯迪拉克CT4 2020款 28T 时尚型,凯迪拉克,沈阳,12.38,26.98,1.24万,3.24万公里,2021,国6
领克05 2020款 2.0TD 手自一体 四驱 劲Halo,领克,沈阳,12.56,24.01,1.26万,2.36万公里,2021,国6
宝马3系 2017款 320Li xDrive 2.0T 手自一体 时尚版,宝马,沈阳,12.9,39.20,1.29万,9.81万公里,2017,国5
别克昂科威 2020款 28T 手自一体 四驱 精英版,别克,沈阳,12.98,27.00,1.30万,3.75万公里,2021,国6
大众探岳 2020款 380TSI 双离合 四驱 R-Line智联版,大众,沈阳,12.98,28.11,1.30万,4.48万公里,2020,国6
大众帕萨特 2022款 330TSI 精英版,大众,沈阳,14.68,23.25,1.47万,3.47万公里,2022,国6
宝马3系 2019款 320Li 2.0T 手自一体 时尚版,宝马,沈阳,14.68,35.54,1.47万,4.18万公里,2019,国6
奥迪A4L 2018款 30周年版 45 TFSI quattro个性运动版,奥迪,沈阳,15.38,41.09,1.54万,7.66万公里,2018,国5
丰田凯美瑞 2021款 双擎 2.5HGVP 领先版,丰田,沈阳,15.88,24.82,1.59万,2.65万公里,2022,国6
广汽传祺 传祺M8 2021款 大师系列 390T 尊贵版,广汽传祺,沈阳,15.88,26.98,1.59万,6.42万公里,2021,国6
奔驰A级 2021款 A 200 L 运动轿车时尚型,奔驰,沈阳,16.53,29.75,1.65万,2.49万公里,2021,国6
一汽-大众CC 2021款 380TSI 夺目版,大众,沈阳,16.88,30.10,1.69万,5.65万公里,2021,国6
奔驰GLB 2021款 GLB 200 时尚型,奔驰,沈阳,17.98,36.84,1.80万,5.92万公里,2020,国6
雷克萨斯NX 2020款 200 两驱 锋行版 国VI,雷克萨斯,沈阳,20.0,33.93,2.00万,2.00万公里,2021,国6
红旗H9 2020款 2.0T 智联旗畅版,红旗,沈阳,20.58,41.40,2.06万,4.78万公里,2021,国6
坦克500 2022款 3.0T 商务版 造境 5座,坦克,沈阳,26.38,39.91,2.64万,4.19万公里,2023,国6
沃尔沃S90 2023款 B5 智逸豪华版,沃尔沃,沈阳,26.9,45.50,2.69万,2.14万公里,2023,国6
吉利汽车 吉利帝豪 2021款 UP 1.5L CVT 舒适型,吉利汽车,沈阳,4.78,8.52,0.48万,2.66万公里,2021,国6
哈弗M6 2021款 PLUS 1.5T 双离合豪华智联型,哈弗,沈阳,5.83,10.19,0.58万,4.64万公里,2021,国6
比亚迪海豚 2021款 401km 骑士版,比亚迪,沈阳,7.88,14.92,0.79万,3.88万公里,2021,新能源
奥迪A3 2021款 Sportback 35 TFSI 豪华运动型,奥迪,沈阳,13.88,27.36,1.39万,3.01万公里,2021,国6
红旗HQ9 2023款 2.0T 智联旗畅版,红旗,沈阳,26.98,53.45,2.70万,3.00万公里,2023,国6
丰田威驰 2019款 1.5L 手动 创行版,丰田,沈阳,4.28,9.08,0.43万,4.67万公里,2020,国6
吉利汽车 吉利帝豪GS 2016款 运动版 1.3T 双离合 领尚版,吉利汽车,沈阳,4.38,11.51,0.44万,4.80万公里,2018,国5
丰田YARiS L 致炫 2016款 改款 1.5E CVT魅动版,丰田,沈阳,4.58,9.96,0.46万,7.41万公里,2019,国5
长安CS95 2017款 2.0T 两驱 智途版 7座,长安,沈阳,6.38,20.36,0.64万,5.79万公里,2019,国5
吉利汽车 吉利博越 2020款 1.8TD 双离合 智慧PRO,吉利汽车,沈阳,6.78,14.50,0.68万,5.14万公里,2020,国6
大众途岳 2021款 280TSI 双离合 两驱 豪华版plus,大众,沈阳,11.38,21.46,1.14万,2.72万公里,2021,国6
宝马1系 2022款 120i M运动版,宝马,沈阳,11.58,23.23,1.16万,2.54万公里,2022,国6
大众迈腾 2020款 280TSI 舒适型,大众,沈阳,11.58,21.14,1.16万,3.43万公里,2021,国6
宝马3系 2017款 320Li xDrive 2.0T 手自一体 时尚版,宝马,沈阳,11.98,39.20,1.20万,5.81万公里,2017,国5
沃尔沃S90 2018款 T4 智远版,沃尔沃,沈阳,15.38,45.49,1.54万,3.67万公里,2018,国5
奔驰GLC 2017款 GLC 260  4MATIC 动感版,奔驰,沈阳,18.68,47.95,1.87万,9.23万公里,2017,国5
宝马3系GT 2020款 320i M运动套装,宝马,沈阳,18.98,40.29,1.90万,3.94万公里,2021,国6
比亚迪F3 2012款 1.5L 手动 舒适版 节能版,比亚迪,沈阳,1.98,5.33,0,4.83万公里,2017,国4
五菱汽车 五菱宏光MINIEV 2021款 马卡龙时尚款 120KM 磷酸铁锂,五菱汽车,沈阳,2.58,4.61,0.26万,0.60万公里,2022,新能源
别克凯越 2013款 1.5L 自动 经典型,别克,沈阳,2.58,11.74,0.26万,5.18万公里,2014,国5
宝骏730 2016款 1.5L 手动 舒适版 7座,宝骏,沈阳,3.18,8.20,0.32万,6.20万公里,2017,国5
日产轩逸 2012款 1.6L 手动 XL 豪华版,日产,沈阳,3.28,14.29,0.33万,6.84万公里,2014,国4
丰田YARiS L 致炫 2015款 1.5L 自动 魅动版,丰田,沈阳,3.48,9.96,0.35万,9.99万公里,2015,国5
奔腾X80 2017款 2.0L 手自一体 精英版,奔腾,沈阳,3.58,15.27,0.36万,6.82万公里,2017,国5
日产骐达 2014款 1.6 XE CVT 舒适型,日产,沈阳,3.78,13.22,0.38万,6.49万公里,2014,国5
雪佛兰迈锐宝 2014款 2.0L 手自一体 豪华版,雪佛兰,沈阳,3.78,21.14,0.38万,8.99万公里,2014,国5
吉利汽车 吉利远景X3 2017款 1.5L 自动 精英版,吉利汽车,沈阳,3.98,7.32,0.40万,5.03万公里,2020,国5
奇瑞 艾瑞泽5 2021款 PRO 1.5L 手动 青春版,奇瑞,沈阳,4.18,7.10,0.42万,2.50万公里,2023,国6
现代领动 2016款 1.6L 手动 智炫·青春版,现代,沈阳,4.18,11.51,0.42万,7.70万公里,2018,国5
别克昂科拉 2015款 1.4T GS 自动 四驱 全能旗舰型,别克,沈阳,4.28,21.14,0.43万,5.97万公里,2015,国5
吉利汽车 吉利远景X3 2021款 PRO 1.5L CVT 尊贵型,吉利汽车,沈阳,4.78,8.09,0.48万,0.37万公里,2021,国6
smart fortwo 2015款 1.0L 52千瓦硬顶灵动版,smart,沈阳,4.78,13.03,0.48万,7.11万公里,2016,国5
奇瑞 艾瑞泽GX 2021款 冠军版 1.5L CVT 尊享版,奇瑞,沈阳,4.87,14.83,0.49万,4.61万公里,2021,国6
铃木维特拉 2016款 1.4T 手动 两驱 精英版,铃木,沈阳,4.98,13.61,0.50万,5.58万公里,2016,国5
现代名图 2014款 1.8L 自动 尊贵型,现代,沈阳,5.7,18.15,0.57万,7.74万公里,2015,国5
丰田威驰 2021款 1.5L CVT创行版,丰田,沈阳,5.98,10.18,0.60万,0.47万公里,2022,国6
现代领动 2019款 1.4T 双离合 炫动·活力型,现代,沈阳,6.28,14.27,0.63万,5.16万公里,2020,国6
丰田雷凌 2019款 185T CVT 豪华版 国VI,丰田,沈阳,6.28,14.83,0.63万,7.60万公里,2019,国6
大众速腾 2018款 1.6L 手自一体 舒适版,大众,沈阳,6.38,16.82,0.64万,6.02万公里,2018,国5
本田飞度 2021款 1.5L 潮享版,本田,沈阳,6.48,10.07,0.65万,1.67万公里,2022,国6
丰田YARiS L 致炫 2022款 致炫X 1.5L CVT 领先PLUS版,丰田,沈阳,6.58,10.40,0.66万,1.40万公里,2023,国6
别克GL6 2019款 18T 互联豪华版 6座 国VI,别克,沈阳,6.58,17.70,0.66万,6.31万公里,2019,国6
Jeep指南者 2017款 200T 家享版,Jeep,沈阳,6.78,20.35,0.68万,4.40万公里,2018,国5
长安CS75 2021款 荣耀百万版 280T 双离合 领航型,长安,沈阳,6.98,13.95,0.70万,4.52万公里,2021,国6
现代途胜 2018款 1.6T 双离合 两驱 15周年纪念版,现代,沈阳,6.98,20.36,0.70万,7.35万公里,2018,国5
大众途观 2016款 300TSI 手自一体 四驱 风尚视野版,大众,沈阳,7.1,27.66,0.71万,10.62万公里,2017,国5
魏牌VV6 2020款 2.0T 双离合 两驱 智护+,魏牌,沈阳,7.18,17.62,0.72万,6.76万公里,2020,国6
广汽传祺 传祺GS8 2017款 320T 两驱 豪华智联版 7座,广汽传祺,沈阳,7.38,20.69,0.74万,7.72万公里,2018,国5
现代伊兰特 2022款 1.5L CVT精英版,现代,沈阳,7.47,12.95,0.75万,2.37万公里,2023,国6
本田杰德 2017款 1.8L 自动 经典版 5座,本田,沈阳,7.98,14.84,0.80万,3.96万公里,2019,国5
Jeep指南者 2019款 220T 夜鹰版,Jeep,沈阳,8.2,19.91,0.82万,5.85万公里,2020,国6
大众途铠 2019款 280TSI 双离合 舒适版,大众,沈阳,8.38,16.83,0.84万,1.80万公里,2020,国6
领克03 2019款 2.0TD 手自一体 劲 国VI,领克,沈阳,8.38,17.60,0.84万,6.00万公里,2019,国6
奇瑞 瑞虎8 2021款 鲲鹏版 390TGDI 双离合逐风＋版,奇瑞,沈阳,8.57,15.73,0.86万,2.05万公里,2022,国6
宝马3系 2016款 320Li 2.0T 手自一体 进取型,宝马,沈阳,8.6,36.53,0.86万,9.40万公里,2016,国5
宝马3系 2014款 320Li 2.0T 手自一体 时尚型,宝马,沈阳,8.68,40.18,0.87万,8.73万公里,2014,国4
哈弗神兽 2022款 1.5T 两驱智领版,哈弗,沈阳,8.98,14.85,0.90万,1.98万公里,2022,国6
雪佛兰探界者 2021款 535T 两驱 领界版,雪佛兰,沈阳,9.28,19.26,0.93万,1.90万公里,2021,国6
领克06 2023款 Remix 1.5T Shero,领克,沈阳,9.38,14.69,0.94万,3.08万公里,2022,国6
红旗H5经典 2022款 经典款 改款 1.5T 双离合旗韵版,红旗,沈阳,9.58,16.93,0.96万,1.17万公里,2023,国6
丰田卡罗拉锐放 2022款 2.0L CVT 豪华版,丰田,沈阳,9.58,17.04,0.96万,2.36万公里,2022,国6
奥迪Q2L 2021款 35 TFSI 进取动感型,奥迪,沈阳,10.28,24.67,1.03万,5.16万公里,2021,国6
别克昂科威 2021款 532T 两驱 领先型,别克,沈阳,10.58,21.47,1.06万,3.50万公里,2021,国6
大众高尔夫 2021款 280TSI 双离合 Pro型,大众,沈阳,10.58,17.04,1.06万,5.20万公里,2022,国6
深蓝汽车 深蓝SL03 2022款 1.5L 1200增程版,深蓝汽车,沈阳,10.98,19.48,1.10万,2.77万公里,2023,国6
红旗HS5 2022款 改款 2.0T 手自一体 两驱 智联旗享版,红旗,沈阳,11.98,22.57,1.20万,2.80万公里,2022,国6
丰田凯美瑞 2018款 2.5G 豪华版,丰田,沈阳,11.98,24.82,1.20万,3.90万公里,2018,国5
大众迈腾 2019款 330TSI 双离合 豪华型 国VI,大众,沈阳,11.98,25.81,1.20万,7.08万公里,2019,国6
本田皓影 2021款 240TURBO CVT 两驱 精英版,本田,沈阳,12.98,20.35,1.30万,2.79万公里,2022,国6
路虎发现神行 2017款 2.0T SE,路虎,沈阳,12.98,45.62,1.30万,7.79万公里,2017,国5
雷克萨斯ES 2015款 ES 200 精英版,雷克萨斯,沈阳,13.98,31.33,1.40万,4.84万公里,2017,国5
福特EVOS 2022款 EcoBoost 245 运动版,福特,沈阳,15.38,27.66,1.54万,2.41万公里,2022,国6
大众迈腾 2020款 330TSI 领先型,大众,沈阳,16.18,24.79,1.62万,2.10万公里,2022,国6
奔驰C级(进口) 2017款 C 200 旅行轿车,奔驰,沈阳,16.28,46.84,1.63万,4.34万公里,2017,国5
奔驰C级 2019款 C 180 L 时尚版 运动轿车,奔驰,沈阳,16.87,35.42,1.69万,3.36万公里,2019,国5
宝马i3 2022款 eDrive 35 L,宝马,沈阳,17.98,39.62,1.80万,1.28万公里,2023,国6
别克GL8 2022款 陆上公务舱 652T 豪华型 7座,别克,沈阳,19.28,29.09,1.93万,3.49万公里,2022,国6
别克GL8 2022款 陆上公务舱 652T 舒适型 7座,别克,沈阳,20.78,26.22,2.08万,2.05万公里,2023,国6
特斯拉Model Y 2022款 545km 后轮驱动版,特斯拉,沈阳,20.98,35.53,2.10万,1.14万公里,2023,新能源
奔驰C级 2020款 改款 C 260 L 运动版,奔驰,沈阳,20.98,38.85,2.10万,4.90万公里,2020,国6
宝马3系 2020款 改款 325Li M运动曜夜套装,宝马,沈阳,21.38,40.75,2.14万,2.27万公里,2020,国6
大众途昂 2021款 380TSI 四驱尊崇豪华版,大众,沈阳,22.58,38.30,2.26万,1.55万公里,2021,国6
宝马X3 2019款 xDrive 28i M运动套装,宝马,沈阳,23.8,47.59,2.38万,6.25万公里,2019,国6
路虎揽胜极光 2021款 极光L 249PS R-Dynamic First edition 首发版,路虎,沈阳,23.88,48.03,2.39万,1.03万公里,2022,国6
本田艾力绅 2019款 锐·混动 2.0L E-CVT 至尊版,本田,沈阳,22.38,36.85,2.24万,3.49万公里,2021,国6
宝马5系 2018款 改款 530Li xDrive 2.0T 手自一体 M运动套装,宝马,沈阳,24.98,55.45,2.50万,7.47万公里,2018,国5
五菱汽车 五菱宏光 2019款 五菱宏光1.5手动 S基本型VI LAR,五菱汽车,沈阳,4.08,6.32,0.41万,2.43万公里,2021,国6
理想汽车 理想ONE 2020款 增程6座版,理想汽车,沈阳,16.86,36.75,1.69万,5.16万公里,2020,国6
广汽传祺 传祺GS3 2017款 150N 手自一体 精英版,广汽传祺,洛阳,3.98,10.29,0.40万,6.37万公里,2017,国5
别克威朗 2016款 两厢 15S 自动进取型,别克,洛阳,4.58,16.61,0.46万,6.22万公里,2017,国5
哈弗M6 2019款 1.5T 双离合 精英型 国VI,哈弗,洛阳,4.92,9.54,0.49万,4.69万公里,2019,国6
起亚K3 2017款 1.6L 手自一体 15周年特别版,起亚,洛阳,5.38,13.61,0.54万,5.02万公里,2018,国5
Jeep指南者 2019款 220T 悦享版,Jeep,洛阳,7.55,18.81,0.76万,5.12万公里,2020,国6
哈弗赤兔 2021款 激擎版 1.5T 黄金兔,哈弗,洛阳,7.88,13.50,0.79万,3.37万公里,2022,国6
大众途岳 2021款 280TSI 双离合 两驱 舒适版,大众,洛阳,10.88,20.69,1.09万,3.77万公里,2021,国6
Polestar极星Polestar 2 2020款 首发版,Polestar极星,洛阳,12.58,46.71,1.26万,3.41万公里,2021,国6
领克05 PHEV 2021款 1.5T Halo,领克,洛阳,13.4,26.09,1.34万,2.82万公里,2022,国6
五菱汽车 五菱宏光MINIEV 2020款 自在款 磷酸铁锂,五菱汽车,洛阳,2.32,4.08,0,2.28万公里,2021,新能源
吉利汽车 吉利帝豪 2016款 1.5L 手动 向上版,吉利汽车,洛阳,2.68,9.30,0.27万,5.84万公里,2015,国5
宝骏510 2017款 1.5L AMT 时尚版,宝骏,洛阳,3.98,8.08,0.40万,6.97万公里,2018,国5
别克凯越 2018款 15N CVT 豪华版,别克,洛阳,4.48,11.52,0.45万,4.82万公里,2019,国5
福特福克斯 2018款 两厢经典 1.6L 双离合 舒适型智行版,福特,洛阳,4.56,12.72,0.46万,7.64万公里,2018,国5
马自达3 昂克赛拉 2014款 三厢 2.0L 自动 旗舰型,马自达,洛阳,5.28,18.16,0.53万,8.81万公里,2014,国5
雪佛兰科鲁兹 2018款 三厢 Redline 320 手自一体 先锋版,雪佛兰,洛阳,5.38,14.39,0.54万,5.21万公里,2019,国5
荣威i5 2020款 1.5L CVT 4G互联领豪旗舰版,荣威,洛阳,5.58,10.75,0.56万,3.49万公里,2021,国6
吉利汽车 吉利帝豪 2021款 UP 1.5L CVT 向上版,吉利汽车,洛阳,5.58,9.85,0.56万,4.39万公里,2021,国6
比亚迪宋MAX 2017款 1.5TI 双离合 智联精英版 7座,比亚迪,洛阳,5.58,12.63,0.56万,6.06万公里,2017,国5
现代领动 2016款 1.6L 手自一体 智炫·精英版,现代,洛阳,5.76,13.72,0.58万,4.88万公里,2019,国5
雪佛兰科鲁泽 2021款 320 手自一体 悦享天窗版,雪佛兰,洛阳,5.78,13.18,0.58万,2.38万公里,2021,国6
马自达3 昂克赛拉 2017款 三厢 1.5L 手自一体 豪华版 国V,马自达,洛阳,5.79,15.94,0.58万,7.11万公里,2017,国5
比亚迪秦PLUS新能源 2021款 DM-i 120km 尊贵型,比亚迪,洛阳,6.28,15.71,0.63万,7.18万公里,2021,国6
大众朗逸 2019款 1.5L 手自一体 风尚版 国VI,大众,洛阳,6.38,14.28,0.64万,4.40万公里,2019,国6
哈弗H6 2021款 1.5T 双离合 都市版,哈弗,洛阳,7.11,12.19,0.71万,2.53万公里,2021,国6
吉利汽车 吉利博越 2020款 1.8TD 双离合 智联PRO,吉利汽车,洛阳,7.41,13.39,0.74万,3.25万公里,2021,国6
吉利汽车 吉利博越 2020款 1.8TD 双离合 智慧PRO,吉利汽车,洛阳,7.88,14.50,0.79万,2.54万公里,2021,国6
领克02 2018款 1.5TD 双离合 两驱 耀Pro 国V,领克,洛阳,7.88,17.48,0.79万,4.36万公里,2019,国5
哈弗H6 2021款 2.0GDIT 双离合 冠军版,哈弗,洛阳,7.98,14.74,0.80万,4.08万公里,2020,国6
本田思域 2016款 220TURBO CVT 豪华版,本田,洛阳,8.02,15.94,0.80万,6.78万公里,2019,国5
大众速腾 2019款 200TSI 双离合 舒适型 国VI,大众,洛阳,8.58,17.05,0.86万,3.77万公里,2020,国6
本田缤智 2020款 1.5L CVT 豪华版,本田,洛阳,8.78,16.93,0.88万,2.60万公里,2021,国6
大众速腾 2020款 280TSI 双离合 舒适型 国VI,大众,洛阳,8.92,18.37,0.89万,2.67万公里,2020,国6
领克02 2021款 冠军版 1.5T 双离合 两驱 耀,领克,洛阳,8.98,17.04,0.90万,2.51万公里,2021,国6
长安CS75PLUS 2021款 2.0T 手自一体 领航型,长安,洛阳,9.18,15.95,0.92万,2.62万公里,2021,国6
大众帕萨特 2017款 330TSI 双离合 尊荣版,大众,洛阳,9.38,25.12,0.94万,7.48万公里,2017,国5
