标题,品牌,城市,价格,新车价格,首付,里程,年份,排放标准
天籁 2010款 2.5L XL周年纪念版,日产,东莞,3.58万,23.98万,0.0, 9.30万公里,2010,N/A
沃尔沃XC60(进口) 2014款 T6 智逸版,沃尔沃,深圳,8.28万,53.99万,0.0, 12万公里,2014,N/A
景逸X3 2015款 1.5L 舒适型,东风风行,广州,1.30万,6.69万,0.0, 6.40万公里,2015,N/A
北汽幻速S3 2014款 1.5L 舒适型 国IV,北汽幻速,上海,1.28万,6.58万,0.0, 8万公里,2014,N/A
宝马5系 2008款 523Li 豪华型,宝马,深圳,3.60万,52.16万,0.0, 14.10万公里,2008,N/A
宝马3系 2022款 330Li xDrive M运动曜夜套装,宝马,沈阳,30.80万,39.89万,0.0, 3.10万公里,2022,N/A
唐DM-i 2015款 DM 2.0T 四驱旗舰型,比亚迪,深圳,4.28万,27.98万,0.0, 10.87万公里,2015,N/A
揽胜极光(进口) 2014款 2.0T 5门耀动版,路虎,广州,9.58万,62.80万,0.0, 14万公里,2014,N/A
神行者2 2013款 2.0T Si4 SE汽油版,路虎,温州,5.98万,53.80万,0.0, 17万公里,2013,N/A
宝马5系 2010款 530Li 豪华型,宝马,成都,4.88万,68.86万,0.0, 14.60万公里,2010,N/A
瑞虎7 2016款 2.0L CVT耀臻版,奇瑞,温州,3.98万,12.39万,0.0, 5.80万公里,2016,N/A
奔驰S级 2012款 S 300 L 豪华型 Grand Edition,奔驰,广州,.,.,0.0, ,2012,N/A
君威 2012款 2.0L 舒适版,别克,青岛,.,.,0.0, ,2012,N/A
马自达6 2013款 2.0L 自动超豪华型,马自达,苏州,.,.,0.0, ,2013,N/A
宝马1系(进口) 2012款 116i 都市型,宝马,北京,.,.,0.0, ,2012,N/A
凯美瑞 2018款 2.0G 豪华版,丰田,莞,.,.,0.0, ,2018,N/A
揽胜 2020款 3.0 L6 传世版,路虎,深圳,.,.,0.0, ,2020,N/A
昂科威 2021款 532T 两驱领先型,别克,温州,.,.,0.0, .,2021,N/A
宝马3系(进口) 2011款 320i双门轿跑车,宝马,杭州,.,.,0.0, ,2011,N/A
五菱宏光S3 2019款 1.5T 手动标准型 国VI,五菱汽车,莞,.,.,0.0, .,2019,N/A
奔腾X80 2016款 2.0L 自动豪华型,奔腾,济南,.,.,0.0, .,2016,N/A
奔驰R级 2011款 R 350 L 4MATIC,奔驰,深圳,.,.,0.0, .,2011,N/A
宝马5系 2019款 530Li 领先型 豪华套装,宝马,南京,.,.,0.0, ,2019,N/A
秦DM 2015款 1.5T 双冠旗舰版,比亚迪,深圳,.,.,0.0, .,2015,N/A
思域 2006款 1.8L 自动经典版,本田,,.,.,0.0, .,2006,N/A
宝马1系 2018款 118i 时尚型,宝马,惠州,.,.,0.0, .,2018,N/A
雷克萨斯ES 2020款 200 卓越版 国VI,雷克萨斯,惠州,.,.,0.0, .,2020,N/A
帕拉丁 2007款 2.4L XE 两驱标准型,日产,莞,.,.,0.0, ,2007,N/A
欧蓝德 2020款 2.0L 两驱畅享版 7座,三菱,郑州,.,.,0.0, .,2020,N/A
Model X 2016款 90D,特斯拉,北京,.,.,0.0, ,2016,N/A
DS 6 2016款 1.6T 豪华版THP160,DS,深圳,.,.,0.0, ,2016,N/A
宝马7系 2011款 730Li典雅型,宝马,武汉,11.80万,89.80万,0.0, 15万公里,2011,N/A
宝马6系GT 2021款 改款 630i 豪华设计套装,宝马,杭州,43.80万,58.39万,0.0, 1.90万公里,2021,N/A
凯美瑞(海外) 2005款 2.4 标准版,丰田,广州,4.60万,34.40万,0.0, 15.50万公里,2005,N/A
标致308 2014款 乐享版 经典 1.6L 自动优尚型,标致,汕头,2.50万,11.59万,0.0, 8万公里,2014,N/A
英朗 2021款 典范 1.5L 自动进取型,别克,长沙,5.05万,11.99万,0.0, 1.50万公里,2021,N/A
欧诺S 2012款 1.5L豪华型,长安凯程,北京,1.58万,6.09万,0.0, 3万公里,2012,N/A
科鲁泽 2019款 RS 330T 自动痛快版,雪佛兰,深圳,5.08万,11.99万,0.0, 2万公里,2019,N/A
宝马5系 2022款 改款 530Li 领先型 M运动套装,宝马,惠州,37.58万,47.19万,0.0, 3.69万公里,2022,N/A
途观 2012款 1.8TSI 自动两驱风尚版,大众,上海,3.18万,23.38万,0.0, 9.80万公里,2012,N/A
奔驰R级 2010款 R 300 L 商务型,奔驰,济南,5.60万,59.80万,0.0, 13万公里,2010,N/A
君威 2015款 2.0L 领先时尚型,别克,上海,4.68万,17.89万,0.0, 7.20万公里,2015,N/A
沃尔沃S60 2015款 S60L 2.0T 智远版,沃尔沃,苏州,5.58万,30.99万,0.0, 11万公里,2015,N/A
奥迪SQ5 2021款 3.0 TFSI quattro,奥迪,深圳,47.78万,59.88万,0.0, 0.85万公里,2021,N/A
逍客 2012款 2.0XL 火 CVT 2WD,日产,青岛,2.99万,16.48万,0.0, 10万公里,2012,N/A
花冠 2004款 1.8L 自动GLX-i,丰田,泉州,1.68万,16.98万,0.0, 15万公里,2004,N/A
大切诺基(进口) 2014款 3.0L 舒享导航版,Jeep,佛山,10.38万,57.99万,0.0, 10.80万公里,2014,N/A
翼虎 2013款 2.0L GTDi 四驱运动型,福特,重庆,4.80万,26.28万,0.0, 11万公里,2013,N/A
奥迪Q5 2017款 40 TFSI 进取型,奥迪,东莞,13.98万,40.04万,0.0, 8.20万公里,2017,N/A
奔驰EQS 2022款 改款 EQS 450+ 先锋版,奔驰,常州,43.68万,84.50万,0.0, 1.60万公里,2022,N/A
飞度 2007款 1.5L CVT舒适版,本田,东莞,1.68万,11.68万,0.0, 12万公里,2007,N/A
坦途 2011款 5.7 标准型,丰田,北京,13.98万,61.80万,0.0, 9万公里,2011,N/A
逸动 2012款 1.6L 手动尊贵型 国IV,长安,深圳,1.23万,8.59万,0.0, 5万公里,2012,N/A
标致301 2014款 1.6L 自动舒适版,标致,广州,2.18万,9.47万,0.0, 7.24万公里,2014,N/A
宝马X1 2016款 sDrive18Li 尊享型,宝马,上海,10.80万,30.60万,0.0, 5.92万公里,2016,N/A
宝马3系 2013款 320i 时尚型,宝马,苏州,7.80万,33.90万,0.0, 8.40万公里,2013,N/A
雷克萨斯IS 2011款 250 运动版,雷克萨斯,广州,6.98万,36.90万,0.0, 10万公里,2011,N/A
奥德赛 2018款 2.4L 舒适版,本田,南京,17.58万,22.98万,0.0, 6万公里,2018,N/A
凯迪拉克XTS 2013款 28T 典雅型,凯迪拉克,苏州,6.98万,36.99万,0.0, 13万公里,2013,N/A
皇冠 2007款 2.5L Royal 真皮版,丰田,泉州,4.68万,32.00万,0.0, 15万公里,2007,N/A
迈锐宝XL 2016款 1.5T 双离合锐享版,雪佛兰,上海,4.88万,17.99万,0.0, 6.90万公里,2016,N/A
标致2008 2014款 1.6L 自动领航版,标致,温州,2.58万,13.67万,0.0, 9万公里,2014,N/A
阳光 2011款 1.5XE 手动舒适版,日产,汕头,0.89万,8.28万,0.0, 20万公里,2011,N/A
奥迪A4L 2013款 35 TFSI 自动舒适型,奥迪,成都,6.28万,32.99万,0.0, 13.20万公里,2013,N/A
雷克萨斯ES 2022款 200 豪华版,雷克萨斯,惠州,25.58万,31.59万,0.0, 1.55万公里,2022,N/A
宝马X3 2020款 xDrive28i M运动套装,宝马,广州,25.68万,42.58万,0.0, 9.80万公里,2020,N/A
宝马6系GT 2021款 改款 630i 豪华设计套装,宝马,杭州,44.80万,58.39万,0.0, 1.40万公里,2021,N/A
沃尔沃XC90 2018款 T6 智逸版 7座,沃尔沃,广州,21.98万,69.88万,0.0, 21万公里,2018,N/A
翼虎 2017款 EcoBoost 180 两驱虎跃型,福特,桂林,6.29万,19.98万,0.0, 7万公里,2017,N/A
卫士 2021款 110 P400 暗黑特别版,路虎,西安,75.80万,88.80万,0.0, 3.20万公里,2021,N/A
别克GL8 2014款 3.0L GT豪华商务豪雅版,别克,成都,7.18万,36.99万,0.0, 11.60万公里,2014,N/A
马自达CX-7 2014款 2.5L 2WD 时尚版,马自达,深圳,4.68万,19.98万,0.0, 11万公里,2014,N/A
奔驰C级 2010款 C 200 CGI 时尚型,奔驰,北京,4.38万,39.50万,0.0, 13万公里,2010,N/A
红旗E-QM5 2023款 基础出行版,红旗,厦门,10.58万,23.98万,0.0, 0.01万公里,2023,N/A
宝马5系 2022款 525Li M运动套装,宝马,惠州,34.58万,42.39万,0.0, 1.69万公里,2022,N/A
讴歌RDX(进口) 2013款 3.0L 两驱精英版,讴歌,深圳,8.68万,43.90万,0.0, 10.41万公里,2013,N/A
奥迪A6L 2020款 40 TFSI 豪华致雅型,奥迪,深圳,26.68万,40.98万,0.0, 7.90万公里,2020,N/A
元PLUS 2022款 510KM 旗舰型,比亚迪,福州,11.70万,15.98万,0.0, 2.60万公里,2022,N/A
奥迪A4L 2013款 40 TFSI quattro个性运动型,奥迪,济南,8.28万,34.90万,0.0, 8.50万公里,2013,N/A
宝骏E100 2019款 250KM 智行版,宝骏,汕头,2.00万,4.98万,0.0, 4.20万公里,2019,N/A
魏牌 VV7 2017款 2.0T 旗舰型,魏牌,成都,6.88万,18.88万,0.0, 4.80万公里,2017,N/A
雷克萨斯GS 2005款 430,雷克萨斯,北京,14.80万,94.40万,0.0, 13万公里,2005,N/A
起亚KX5 2016款 1.6T 自动两驱Premium,起亚,合肥,6.28万,19.38万,0.0, 7万公里,2016,N/A
荣威RX5 2019款 20T 两驱手动4G互联铂金版,荣威,温州,3.78万,11.68万,0.0, 8.50万公里,2019,N/A
君威 2011款 2.0L 舒适版,别克,重庆,2.18万,18.49万,0.0, 14万公里,2011,N/A
别克GL8 2013款 2.4L 舒适版,别克,济南,3.60万,22.80万,0.0, 15万公里,2013,N/A
Cayenne 2019款 Cayenne 3.0T,保时捷,深圳,78.80万,91.30万,0.0, 2万公里,2019,N/A
Mustang 2015款 2.3T 性能版,福特,东莞,11.38万,39.98万,0.0, 7.20万公里,2015,N/A
途观L PHEV 2019款 430PHEV 混动旗舰版,大众,太原,13.30万,32.58万,0.0, 6.90万公里,2019,N/A
飞驰 2010款 6.0T 四座版,宾利,成都,60.80万,378.00万,0.0, 6.20万公里,2010,N/A
智跑 2014款 2.0L 自动两驱版DLX,起亚,东莞,3.98万,19.78万,0.0, 12.60万公里,2014,N/A
智跑 2014款 2.0L 自动两驱版DLX,起亚,莞,.,.,0.0, .,2014,N/A
雷克萨斯LS 2006款 460L,雷克萨斯,河源,.,.,0.0, ,2006,N/A
MG6 2019款 20T 自动星辉版,名爵,,.,.,0.0, .,2019,N/A
长安UNI-V 2022款 1.5T 运动版,长安,莞,.,.,0.0, .,2022,N/A
天语 SX4 2008款 两厢 1.6L 自动都市时尚型,铃木,莞,.,.,0.0, ,2008,N/A
众泰SR9 2017款 2.0T 自动极致之路版,众泰,惠州,.,.,0.0, ,2017,N/A
君威 2015款 GS 2.0T 豪情运动版,别克,青岛,.,.,0.0, .,2015,N/A
MG5 2021款 180DVVT CVT青春豪华版,名爵,苏州,.,.,0.0, .,2021,N/A
哈弗H5经典 2016款 经典版 2.0T 手动两驱尊贵型,哈弗,乡,.,.,0.0, ,2016,N/A
宝马X1 2022款 sDrive25Li 领先型,宝马,,.,.,0.0, .,2022,N/A
英朗 2010款 XT 1.6L 自动时尚版,别克,温州,.,.,0.0, .,2010,N/A
瑞风S7 2017款 1.5T 自动舒适型,江汽集团,温州,.,.,0.0, .,2017,N/A
昂科拉 2014款 1.4T 自动两驱都市精英型,别克,,.,.,0.0, .,2014,N/A
威霆 2020款 2.0T 商务版 7座,奔驰,广州,.,.,0.0, .,2020,N/A
途观L PHEV 2019款 430PHEV 混动旗舰版,大众,,.,.,0.0, .,2019,N/A
思铂睿 2009款 2.4L 豪华版,本田,温州,.,.,0.0, ,2009,N/A
DS 5LS 2015款 1.6T 舒适版THP160,DS,珠,.,.,0.0, .,2015,N/A
君威 2015款 1.6T 时尚技术型,别克,北京,.,.,0.0, .,2015,N/A
雅阁 2018款 230TURBO 舒适版 国VI,本田,昆,.,.,0.0, .,2018,N/A
揽胜极光(进口) 2015款 2.0T 5门耀动版,路虎,深圳,.,.,0.0, ,2015,N/A
Polo 2006款 劲取 1.4L 手动雅致版,大众,北京,0.88万,10.28万,0.0, 16万公里,2006,N/A
奔驰S级 2014款 S 500 L,奔驰,深圳,43.88万,209.80万,0.0, 13万公里,2014,N/A
宝马1系 2018款 改款 118i 运动型,宝马,重庆,9.38万,22.58万,0.0, 6万公里,2018,N/A
揽胜运动版 2015款 3.0 V6 SC HSE,路虎,金华,30.80万,104.80万,0.0, 10.20万公里,2015,N/A
奔驰C级 2019款 改款 C 260 L 运动版,奔驰,惠州,20.18万,34.68万,0.0, 4.90万公里,2019,N/A
小鹏P7 2020款 670E,小鹏汽车,宁波,14.40万,31.49万,0.0, 2万公里,2020,N/A
奔驰GLK级 2013款 GLK 300 4MATIC 时尚型,奔驰,成都,8.28万,48.50万,0.0, 16.10万公里,2013,N/A
宝马3系 2015款 320Li 豪华设计套装,宝马,北京,11.70万,39.68万,0.0, 6.70万公里,2015,N/A
睿行M80 2019款 1.5L舒适型4座单蒸空调国VI高顶对开门DAM15KR,长安凯程,深圳,2.38万,7.08万,0.0, 8.90万公里,2019,N/A
星瑞 2021款 2.0T 尊贵型,吉利汽车,郑州,6.98万,13.87万,0.0, 2万公里,2021,N/A
大众CC 2011款 1.8TSI 豪华型,大众,汕头,4.50万,26.38万,0.0, 8万公里,2011,N/A
宝马5系 2013款 525Li 豪华型,宝马,昆明,10.58万,49.46万,0.0, 12.30万公里,2013,N/A
宝马3系 2009款 318i 进取型,宝马,深圳,3.68万,28.30万,0.0, 13万公里,2009,N/A
奔驰GLK级 2013款 GLK 300 4MATIC 动感天窗型,奔驰,重庆,9.38万,43.80万,0.0, 15万公里,2013,N/A
秦DM 2015款 1.5T 双冠旗舰版,比亚迪,惠州,1.95万,20.98万,0.0, 25万公里,2015,N/A
五菱宏光S3 2019款 1.5L 手动标准型 国VI,五菱汽车,东莞,4.50万,5.98万,0.0, 3万公里,2019,N/A
凯迪拉克XTS 2014款 28T 舒适型,凯迪拉克,东莞,7.58万,34.99万,0.0, 8万公里,2014,N/A
奔驰GLC 2020款 GLC 260 L 4MATIC 动感型,奔驰,重庆,26.30万,39.28万,0.0, 8.60万公里,2020,N/A
甲壳虫 2013款 1.4TSI Fender摇滚版,大众,福州,6.38万,29.38万,0.0, 11万公里,2013,N/A
凯迪拉克ATS-L 2017款 28T 技术型,凯迪拉克,东莞,11.58万,27.38万,0.0, 6.80万公里,2017,N/A
FORESTER森林人 2012款 经典 2.5XS 自动豪华版,斯巴鲁,东莞,4.68万,26.98万,0.0, 13万公里,2012,N/A
smart fortwo 2011款 1.0 MHD 硬顶标准版,smart,温州,2.98万,11.50万,0.0, 5万公里,2011,N/A
奔驰E级(进口) 2010款 E 300 优雅型豪华版,奔驰,重庆,6.56万,69.80万,0.0, 14万公里,2010,N/A
奔驰GLC 2019款 GLC 260 L 4MATIC 动感型,奔驰,东莞,24.80万,41.98万,0.0, 4万公里,2019,N/A
奔驰C级 2023款 C 260 L 皓夜运动版,奔驰,东莞,31.60万,37.73万,0.0, 0.89万公里,2023,N/A
宝马X1 2021款 sDrive25Li 领先型,宝马,长沙,18.28万,30.98万,0.0, 2.80万公里,2021,N/A
本田CR-V 2007款 2.0L 自动四驱经典版,本田,广州,2.99万,21.78万,0.0, 18.20万公里,2007,N/A
奔驰C级 2023款 C 260 L 皓夜运动版,奔驰,东莞,31.60万,37.73万,0.0, 0.66万公里,2023,N/A
逸动 2020款 PLUS 蓝鲸NE 1.4T GDI 自动尊贵型,长安,苏州,4.38万,9.39万,0.0, 2.80万公里,2020,N/A
奔驰S级 2012款 S 300 L 豪华型 Grand Edition,奔驰,北京,19.58万,110.80万,0.0, 10.10万公里,2012,N/A
奥迪A4L 2015款 35 TFSI 自动舒适型,奥迪,佛山,8.78万,33.29万,0.0, 11万公里,2015,N/A
凯越 2011款 1.6LX-AT,别克,东莞,1.88万,10.49万,0.0, 10.10万公里,2011,N/A
比亚迪S7 2015款 2.0T 升级版 自动旗舰型,比亚迪,东莞,3.08万,13.99万,0.0, 8.10万公里,2015,N/A
揽胜 2022款 3.0 L6 400PS 传世加长经典版,路虎,成都,125.80万,157.30万,0.0, 5.90万公里,2022,N/A
传祺GS4 2017款 235T 自动两驱豪华智联版,广汽传祺,东莞,4.98万,14.38万,0.0, 8万公里,2017,N/A
奔驰A级AMG(进口) 2020款 改款 AMG A 45 4MATIC+,奔驰,杭州,35.80万,49.88万,0.0, 1.50万公里,2020,N/A
荣威350 2015款 1.5L 自动豪华天窗版,荣威,汕头,2.30万,8.77万,0.0, 7万公里,2015,N/A
锐际 2019款 EcoBoost 245 四驱纵享款 ST-LINE,福特,泉州,12.98万,21.88万,0.0, 0.81万公里,2019,N/A
传祺GS4 2015款 200T G-DCT豪华版,广汽传祺,苏州,3.60万,13.68万,0.0, 9万公里,2015,N/A
凯越 2011款 1.6LX-AT,别克,深圳,1.90万,10.49万,0.0, 13.70万公里,2011,N/A
汉兰达 2018款 2.0T 两驱精英版 7座 国V,丰田,深圳,17.80万,24.88万,0.0, 8.90万公里,2018,N/A
奔驰GLA 2017款 GLA 200 动感型,奔驰,河源,10.60万,27.18万,0.0, 4.80万公里,2017,N/A
科鲁兹 2015款 1.5L 经典 SL MT,雪佛兰,青岛,2.38万,8.99万,0.0, 8.10万公里,2015,N/A
Panamera 2014款 Panamera S Executive 3.0T,保时捷,深圳,43.80万,165.80万,0.0, 8.30万公里,2014,N/A
Panamera 2010款 Panamera 4 3.6L,保时捷,北京,22.98万,125.20万,0.0, 12万公里,2010,N/A
普瑞维亚 2006款 2.4L 7人座豪华版,丰田,苏州,7.00万,48.98万,0.0, 22.20万公里,2006,N/A
翼搏 2017款 1.5L 自动风尚型,福特,深圳,3.98万,11.43万,0.0, 5.60万公里,2017,N/A
奥迪Q2L 2021款 35TFSI 进取动感型,奥迪,成都,11.28万,21.88万,0.0, 3.30万公里,2021,N/A
奔驰GLK级 2013款 GLK 300 4MATIC 豪华型,奔驰,深圳,12.68万,55.80万,0.0, 6.80万公里,2013,N/A
迈巴赫S级 2018款 S 450 4MATIC,奔驰,成都,83.80万,139.88万,0.0, 10.40万公里,2018,N/A
宝马X1 2020款 xDrive25Li 尊享型,宝马,宁波,16.13万,33.98万,0.0, 2.74万公里,2020,N/A
沃尔沃S60 2018款 S60L T3 智行版,沃尔沃,成都,9.38万,26.69万,0.0, 6.92万公里,2018,N/A
途观L 2019款 380TSI 自动四驱智动豪华版 国V,大众,上海,13.50万,28.28万,0.0, 3.80万公里,2019,N/A
奔驰E级 2020款 改款 E 300 L 时尚型,奔驰,长沙,33.78万,46.58万,0.0, 8.20万公里,2020,N/A
奥迪A8 2013款 A8L 45 TFSI quattro专享型,奥迪,北京,20.98万,110.80万,0.0, 13万公里,2013,N/A
陆风X7 2015款 2.0T 全景旗舰版,陆风,惠州,3.38万,14.78万,0.0, 11万公里,2015,N/A
迈锐宝 2018款 530T 自动豪华版,雪佛兰,常州,5.60万,17.99万,0.0, 8万公里,2018,N/A
Panamera 2010款 Panamera 4 3.6L,保时捷,东莞,23.50万,125.20万,0.0, 9万公里,2010,N/A
魏牌 VV7 2017款 2.0T 旗舰型,魏牌,福州,6.68万,18.88万,0.0, 8万公里,2017,N/A
宝马Z4 2013款 sDrive20i领先型,宝马,郑州,15.78万,58.30万,0.0, 9.80万公里,2013,N/A
宝马Z4 2013款 sDrive20i领先型,宝马,郑州,.,.,0.0, .,2013,N/A
奔腾B70 2021款 1.5T 自动乐享型,奔腾,苏州,.,.,0.0, .,2021,N/A
伊兰特 2021款 1.5L CVT GLS领先版,现代,苏州,.,.,0.0, .,2021,N/A
奔驰GLK级 2013款 GLK 300 4MATIC 动感型,奔驰,北京,.,.,0.0, .,2013,N/A
英朗 2017款 15N 自动进取型,别克,温州,.,.,0.0, .,2017,N/A
思域 2006款 1.8L 自动经典版,本田,惠州,.,.,0.0, .,2006,N/A
奥迪A3 2019款 Sportback 35 TFSI 风尚型 国VI,奥迪,济南,.,.,0.0, .,2019,N/A
自由侠 2016款 1.4T 自动劲能版,Jeep,莞,.,.,0.0, .,2016,N/A
宋PLUS 2020款 1.5T 自动旗舰型,比亚迪,,.,.,0.0, .,2020,N/A
凯美瑞 2021款 2.5G 豪华版,丰田,惠州,.,.,0.0, .,2021,N/A
宝马5系 2021款 改款 530Li xDrive M运动套装,宝马,惠州,.,.,0.0, .,2021,N/A
宝马iX 2022款 xDrive40,宝马,潍坊,.,.,0.0, .,2022,N/A
东南DX7 2018款 1.5T 自动精英型,东南,昆,.,.,0.0, ,2018,N/A
标致5008 2017款 350THP 7座精英版,标致,庆,.,.,0.0, .,2017,N/A
宝马1系 2020款 120i M运动套装,宝马,徐州,.,.,0.0, .,2020,N/A
奥德赛 2011款 劲秀 2.4L 豪华版,本田,广州,.,.,0.0, ,2011,N/A
福睿斯 2015款 1.5L 手动时尚型,福特,哈滨,.,.,0.0, ,2015,N/A
宝来 2021款 1.5L 自动时尚智联版,大众,厦,.,.,0.0, .,2021,N/A
沃尔沃S60 2017款 S60L T3 智进版,沃尔沃,庆,.,.,0.0, ,2017,N/A
宝马5系(进口) 2014款 520i 典雅型,宝马,莞,.,.,0.0, ,2014,N/A
宝马5系(进口) 2014款 520i 典雅型,宝马,东莞,12.68万,45.70万,0.0, 8万公里,2014,N/A
哈弗H2 2018款 红标 1.5T 双离合两驱精英型,哈弗,常州,4.50万,10.20万,0.0, 6.80万公里,2018,N/A
博越 2016款 1.8TD 自动四驱智尊型,吉利汽车,西安,4.38万,15.78万,0.0, 11.30万公里,2016,N/A
帕萨特 2011款 1.8TSI 自动尊荣版,大众,西安,4.18万,21.58万,0.0, 11.66万公里,2011,N/A
Cayenne 2011款 Cayenne 3.0T,保时捷,昆明,25.80万,92.20万,0.0, 9万公里,2011,N/A
瑞风M4 2017款 1.9T 柴油 手动舒适型,江淮瑞风,重庆,4.68万,12.98万,0.0, 7.20万公里,2017,N/A
Cayman 2013款 Cayman 2.7L,保时捷,福州,20.30万,72.70万,0.0, 8.20万公里,2013,N/A
长安UNI-K 2021款 2.0T 豪华型,长安,成都,8.28万,14.59万,0.0, 1.30万公里,2021,N/A
途观 2015款 1.8TSI 自动两驱豪华型,大众,泉州,6.20万,25.98万,0.0, 14.50万公里,2015,N/A
小鹏P7 2020款 670E,小鹏汽车,成都,16.58万,31.49万,0.0, 0.90万公里,2020,N/A
君越 2018款 28T 豪华型,别克,郑州,10.50万,28.98万,0.0, 6.80万公里,2018,N/A
奔驰GLK级 2013款 GLK 300 4MATIC 时尚型,奔驰,北京,9.58万,48.50万,0.0, 13.50万公里,2013,N/A
奇骏 2014款 2.5L CVT豪华版 4WD,日产,石家庄,6.68万,23.88万,0.0, 11.30万公里,2014,N/A
MG5 2021款 300TGI DCT青奢风潮版,名爵,苏州,4.31万,8.89万,0.0, 2.80万公里,2021,N/A
沃尔沃S60 2019款 S60L T3 智进版,沃尔沃,常州,9.80万,27.19万,0.0, 7万公里,2019,N/A
蔚来ES6 2019款 430KM 性能版,蔚来,南京,17.80万,39.80万,0.0, 4.60万公里,2019,N/A
奥迪A3 2015款 Limousine 40 TFSI 自动舒适型,奥迪,贵阳,7.58万,26.96万,0.0, 7.30万公里,2015,N/A
途胜 2018款 1.6T 双离合两驱15周年特别版,现代,温州,7.29万,17.99万,0.0, 3.60万公里,2018,N/A
速腾 2017款 230TSI 自动舒适型,大众,温州,5.88万,16.08万,0.0, 7万公里,2017,N/A
途观 2010款 2.0TSI 自动四驱旗舰版,大众,重庆,4.68万,29.48万,0.0, 15万公里,2010,N/A
金杯海狮 2011款 2.0L第五代快运王舒适Z型4G20B,金杯,合肥,1.18万,5.88万,0.0, 14万公里,2011,N/A
Stelvio斯坦维 2017款 2.0T 200HP 豪华版,阿尔法·罗密欧,重庆,13.80万,42.68万,0.0, 8.90万公里,2017,N/A
奥迪A4L 2013款 35 TFSI 自动舒适型,奥迪,常州,7.98万,32.99万,0.0, 10.70万公里,2013,N/A
奥迪A6L 2017款 30 FSI 技术型,奥迪,西安,19.60万,43.88万,0.0, 9.74万公里,2017,N/A
索纳塔九 2015款 1.6T GLS智能型,现代,温州,5.48万,19.48万,0.0, 9万公里,2015,N/A
奔驰E级 2014款 E 260 L 运动型,奔驰,成都,10.80万,44.30万,0.0, 15.40万公里,2014,N/A
远景 2017款 1.5L 自动幸福版,吉利汽车,成都,2.45万,6.69万,0.0, 8.60万公里,2017,N/A
添越 2016款 6.0T 标准版,宾利,北京,129.80万,398.00万,0.0, 4.90万公里,2016,N/A
凯迪拉克CT6 2016款 40T 豪华型,凯迪拉克,东莞,14.68万,59.99万,0.0, 8万公里,2016,N/A
Panamera 2014款 Panamera 3.0T,保时捷,重庆,32.50万,114.50万,0.0, 14万公里,2014,N/A
帝豪GL 2019款 改款 1.4T CVT尊贵智享型,吉利汽车,西安,4.98万,11.08万,0.0, 4.01万公里,2019,N/A
别克GL8 2011款 3.0L XT豪华商务旗舰版,别克,北京,7.98万,38.80万,0.0, 15万公里,2011,N/A
汉兰达 2009款 2.7L 两驱7座至尊版,丰田,东莞,5.50万,33.88万,0.0, 16万公里,2009,N/A
MG6 2017款 20T 自动精英智联版,名爵,成都,3.98万,10.78万,0.0, 5.80万公里,2017,N/A
宝马5系 2014款 520Li 典雅型,宝马,东莞,12.50万,43.56万,0.0, 7万公里,2014,N/A
奥迪A6L 2014款 TFSI 舒适型,奥迪,太原,10.99万,44.66万,0.0, 13.90万公里,2014,N/A
长安欧尚X5 2022款 运动版 1.5T DCT旋风冲锋,长安欧尚,苏州,4.98万,10.09万,0.0, 1.23万公里,2022,N/A
马自达6 2013款 2.0L 自动时尚型,马自达,沈阳,3.68万,14.78万,0.0, 9万公里,2013,N/A
索纳塔 2020款 380TGDi GS 自动智享版,现代,北京,11.38万,18.38万,0.0, 5.20万公里,2020,N/A
玛驰 2010款 1.5L 自动易炫版,日产,广州,1.98万,7.85万,0.0, 11.90万公里,2010,N/A
索纳塔 2020款 380TGDi GS 自动智享版,现代,北京,11.38万,18.38万,0.0, 5.20万公里,2020,N/A
玛驰 2010款 1.5L 自动易炫版,日产,广州,1.98万,7.85万,0.0, 11.90万公里,2010,N/A
风光330 2014款 1.5L 手动实用型DK15,东风风光,惠州,1.20万,4.09万,0.0, 1.40万公里,2014,N/A
宝马5系 2022款 530Li 领先型 豪华套装,宝马,成都,40.38万,46.39万,0.0, 0.43万公里,2022,N/A
瑞虎7 2016款 2.0L CVT耀目版,奇瑞,重庆,3.38万,11.59万,0.0, 10万公里,2016,N/A
奥迪A4L 2013款 40 TFSI quattro个性运动型,奥迪,重庆,8.80万,34.90万,0.0, 8.58万公里,2013,N/A
影豹 2021款 270T 影豹J15版,广汽传祺,金华,8.80万,11.80万,0.0, 2万公里,2021,N/A
领克01 PHEV 2018款 1.5T 劲Pro 国V,领克,深圳,8.68万,25.98万,0.0, 8万公里,2018,N/A
奔驰G级AMG 2009款 AMG G 55,奔驰,长沙,56.80万,225.80万,0.0, 11万公里,2009,N/A
锐界 2016款 EcoBoost 245 四驱豪锐型 7座,福特,重庆,10.68万,31.98万,0.0, 16万公里,2016,N/A
君威 2021款 552T 精英型,别克,长沙,8.68万,18.88万,0.0, 4.60万公里,2021,N/A
宝骏RC-5 2020款 1.5L CVT智耀精英型,宝骏,成都,3.68万,7.98万,0.0, 4.70万公里,2020,N/A
途安 2008款 2.0L 智享版自动5座,大众,北京,2.78万,16.18万,0.0, 11万公里,2008,N/A
缤瑞 2019款 200T DCT缤驰版,吉利汽车,成都,4.08万,8.88万,0.0, 3.10万公里,2019,N/A
